FLEEPGPPAL:[('LLEDEQPGL', 0.631578947368421), ('ALEEQRGPL', 0.631578947368421), ('FLLPSAPAL', 0.631578947368421), ('FLVEQEGRL', 0.631578947368421), ('VLLEEPLPL', 0.631578947368421)]
YLEPVLVPAL:[('MLGWEPVVPL', 0.7), ('YLPRDVLAQL', 0.7), ('CLEAPLPAV', 0.631578947368421), ('LLGQEVVPA', 0.631578947368421), ('SLSHLVPAL', 0.631578947368421)]
YLEPGVVRTA:[('YLPGVIAAI', 0.631578947368421), ('YLPGSRQTL', 0.631578947368421), ('YLEWAPVGV', 0.631578947368421), ('YLGKATVVA', 0.631578947368421), ('ILGKVMVTA', 0.631578947368421)]
KLEPPVVTPL:[('MLGWEPVVPL', 0.7), ('VLPSVVPLV', 0.631578947368421), ('GLPVSTPFL', 0.631578947368421), ('KLREPVDEV', 0.631578947368421), ('TLREPPFTL', 0.631578947368421)]
SLPPGVVAAT:[('YSPDGVRVAA', 0.7), ('YLPGVIAAI', 0.631578947368421), ('SLGKVEAAL', 0.631578947368421), ('SLPQVLAQA', 0.631578947368421), ('SLQPEKPVV', 0.631578947368421)]
FLEPGVPAAV:[('FLHEVPAAS', 0.7368421052631579), ('FLVDEGVSPV', 0.7), ('LVIDPVPAAV', 0.7), ('FLGVGAPHAA', 0.7), ('CLEAPLPAV', 0.631578947368421)]
ILGPPVVPTT:[('ILGKVMVTA', 0.631578947368421), ('MLGWEPVVP', 0.631578947368421), ('IQLHGPPRV', 0.631578947368421), ('ALPHVVPTL', 0.631578947368421), ('MLGWEPVVPL', 0.6)]
ILEPGGVAVT:[('KILPGGYAV', 0.7368421052631579), ('YKILPGGYAV', 0.7), ('IVLGGVAGL', 0.631578947368421), ('ILPVNLKAV', 0.631578947368421), ('IPGVPSLAV', 0.631578947368421)]
KLEPGVVATL:[('LLGVIDVTL', 0.631578947368421), ('HLGVPVEAL', 0.631578947368421), ('YKQEPGAGL', 0.631578947368421), ('KLVEGEEVV', 0.631578947368421), ('KELDEQVAL', 0.631578947368421)]
FLPPGGVVAP:[('FLGGVLVAL', 0.7368421052631579), ('GLPPESGGV', 0.631578947368421), ('FLGVGAPHA', 0.631578947368421), ('FLPRGSGIV', 0.631578947368421), ('FLSPAVFVA', 0.631578947368421)]
ILEPPGVATL:[('ILPPGLLAYL', 0.7), ('ILGESVTLP', 0.631578947368421), ('IVLGGVAGL', 0.631578947368421), ('AILAGVYAL', 0.631578947368421), ('FILAAGVAL', 0.631578947368421)]
ILEPPPVVTA:[('SLILEVQTA', 0.631578947368421), ('LILEVQTAI', 0.631578947368421), ('SSQPPPVTA', 0.631578947368421), ('ILGKVMVTA', 0.631578947368421), ('VELEKPPPV', 0.631578947368421)]
GLEPPVVVLV:[('GLVSGVVLV', 0.7368421052631579), ('GLVSGVVLV', 0.7368421052631579), ('TGLVSGVVLV', 0.7), ('VLPSVVPLV', 0.631578947368421), ('RLENPVDVV', 0.631578947368421)]
ILEPPVVPAL:[('MLGWEPVVPL', 0.7), ('AIQEFVPAL', 0.631578947368421), ('LLGQEVVPA', 0.631578947368421), ('VLPSVVPLV', 0.631578947368421), ('ILAVIVPLL', 0.631578947368421)]
ILEPPVVPVT:[('VLPSVVPLV', 0.631578947368421), ('RLENPVDVV', 0.631578947368421), ('IQAPPGVPV', 0.631578947368421), ('MLGWEPVVP', 0.631578947368421), ('MILEQYVVV', 0.631578947368421)]
ILEPLVVPTT:[('HLIENVVTT', 0.631578947368421), ('MLGWEPVVP', 0.631578947368421), ('ALPHVVPTL', 0.631578947368421), ('MLGWEPVVPL', 0.6), ('IELEEALVNV', 0.6)]
GLEPPPVAAT:[('GLTPIHVAA', 0.631578947368421), ('VELEKPPPV', 0.631578947368421), ('LLEKVAATL', 0.631578947368421), ('FLRHPDVAAT', 0.6), ('GMSWEPPPWV', 0.6)]
YLEPGLAPAL:[('KLENGLAAL', 0.7368421052631579), ('YLGIVLAAV', 0.631578947368421), ('YLPGVIAAI', 0.631578947368421), ('FLLPSAPAL', 0.631578947368421), ('YLWESPSLA', 0.631578947368421)]
SLEPGLVPPA:[('CLEAPLPAV', 0.631578947368421), ('SLSHLVPAL', 0.631578947368421), ('SLIPLLVSA', 0.631578947368421), ('PSLPEPHGV', 0.631578947368421), ('SLDSRPLPA', 0.631578947368421)]
ILEPPGVVTL:[('ILGESVTLP', 0.631578947368421), ('LLGVIDVTL', 0.631578947368421), ('VMIPGVTQL', 0.631578947368421), ('TLREPPFTL', 0.631578947368421), ('ILGKVMVTA', 0.631578947368421)]
YLEPGVVPTA:[('YLPGVIAAI', 0.631578947368421), ('LLGQEVVPA', 0.631578947368421), ('YLEWAPVGV', 0.631578947368421), ('YLGKATVVA', 0.631578947368421), ('ILGKVMVTA', 0.631578947368421)]
ILPPPVVPVV:[('VLPSVVPLV', 0.631578947368421), ('IAMPVPVIV', 0.631578947368421), ('IQAPPGVPV', 0.631578947368421), ('GILPMVPEV', 0.631578947368421), ('AGILPMVPEV', 0.6)]
KLPPGVVATL:[('LLGVIDVTL', 0.631578947368421), ('HLGVPVEAL', 0.631578947368421), ('KLDPGQLVL', 0.631578947368421), ('FLGGVLVAL', 0.631578947368421), ('KLVEVANLA', 0.631578947368421)]
SLEPPPVVTL:[('SSAPPGPTL', 0.631578947368421), ('SLQPEKPVV', 0.631578947368421), ('SSQPPPVTA', 0.631578947368421), ('TLREPPFTL', 0.631578947368421), ('VELEKPPPV', 0.631578947368421)]
ILEPVVVVTP:[('ILGESVTLP', 0.631578947368421), ('RLENPVDVV', 0.631578947368421), ('MLGWEPVVP', 0.631578947368421), ('MILEQYVVV', 0.631578947368421), ('MLGWEPVVPL', 0.6)]
FLEPGVVPTV:[('FLGIYVFTV', 0.631578947368421), ('FLMNEVVHT', 0.631578947368421), ('VLPSVVPLV', 0.631578947368421), ('FLQEVITTV', 0.631578947368421), ('MLGWEPVVP', 0.631578947368421)]
FLEPPVPATL:[('FLSEHPNVTL', 0.7), ('FLPPQTLVT', 0.631578947368421), ('FLLPSAPAL', 0.631578947368421), ('FLEPSTHFL', 0.631578947368421), ('TLREPPFTL', 0.631578947368421)]
FLVPPGVVTA:[('FLNQAVPGA', 0.631578947368421), ('FLPPQTLVT', 0.631578947368421), ('FLGVPKPGL', 0.631578947368421), ('FLGGVLVAL', 0.631578947368421), ('GLVPVVTGI', 0.631578947368421)]
YLEPGVAVAL:[('YLPGVIAAIL', 0.8), ('YLPGVIAAI', 0.7368421052631579), ('YLEGYVANL', 0.7368421052631579), ('LLSGSAVAL', 0.631578947368421), ('VLYGAVALI', 0.631578947368421)]
GLEPGVVPTA:[('GLEGVITAV', 0.7368421052631579), ('AGLEGVITAV', 0.7), ('LLGQEVVPA', 0.631578947368421), ('GLVPVVTGI', 0.631578947368421), ('GLLEGLVEV', 0.631578947368421)]
ILEPGGVPAT:[('IVLGGVAGL', 0.631578947368421), ('IPGVPSLAV', 0.631578947368421), ('KILPGGYAV', 0.631578947368421), ('IQLEVPREA', 0.631578947368421), ('YKILPGGYAV', 0.6)]
GLEPGLVPTA:[('GLEGVITAV', 0.7368421052631579), ('AGLEGVITAV', 0.7), ('GLLEELVTVA', 0.7), ('GLLEELVTV', 0.631578947368421), ('LLEELVTVA', 0.631578947368421)]
ILEPGVVAAP:[('YLPGVIAAI', 0.631578947368421), ('ILAAGVALA', 0.631578947368421), ('ILGKVMVTA', 0.631578947368421), ('ELVDPVVAA', 0.631578947368421), ('MLGWEPVVP', 0.631578947368421)]
FLEPPGLIAL:[('SLSPGALIAL', 0.7), ('ILPPGLLAYL', 0.7), ('LLAEPVPGI', 0.631578947368421), ('FLLPSAPAL', 0.631578947368421), ('FLEGHLDQL', 0.631578947368421)]
YLPPGVVTVT:[('HLYPPGSTV', 0.631578947368421), ('HLYPPGSTVV', 0.6), ('RLFPDGIVTV', 0.6), ('YLAPEVLVSV', 0.6), ('GHLYPPGSTV', 0.6)]
LLPPGDVAAV:[('FLLGLDHVA', 0.631578947368421), ('APLPRPGAV', 0.631578947368421), ('YLPGVIAAI', 0.631578947368421), ('LLLPAHPGA', 0.631578947368421), ('LLGSVQAKV', 0.631578947368421)]
SLGPGPVPTT:[('SLGHPGPPGV', 0.7), ('LLGPEGTPV', 0.631578947368421), ('SLSVPGPTGL', 0.6), ('SLLGAPEVTV', 0.6), ('SLSPPGSPLV', 0.6)]
