YLPPPGVAAV:[('YLPDFPAAA', 0.631578947368421), ('YLPELVHAV', 0.631578947368421), ('YLPPEAFAF', 0.631578947368421), ('YLIPKGTLVV', 0.6), ('YLPELVHAVV', 0.6)]
YLPGGLEVLV:[('SLPGGLVPTV', 0.7), ('LLPGHTVLV', 0.631578947368421), ('YLAGQAEVV', 0.631578947368421), ('YLPELVHAV', 0.631578947368421), ('YVGGILHVL', 0.631578947368421)]
FLEGPLVVPV:[('FLEKPVVPL', 0.7368421052631579), ('RLEGVALVV', 0.631578947368421), ('FLPYFVPGV', 0.631578947368421), ('FLEDVVPDT', 0.631578947368421), ('LLSVVLPSV', 0.631578947368421)]
FLEPPGPPAA:[('LLPPRLPPA', 0.631578947368421), ('KLFLQEPGA', 0.631578947368421), ('FVPPGALYA', 0.631578947368421), ('FLMVTEPGA', 0.631578947368421), ('FVPSPVPAI', 0.5263157894736842)]
YLEGPLVAAP:[('YVLEVDAAI', 0.631578947368421), ('YLMEDGQLV', 0.631578947368421), ('YLPELVHAV', 0.631578947368421), ('YLMGCIPLV', 0.631578947368421), ('YLLGLDAPV', 0.631578947368421)]
YLEPPEVAAP:[('YLPPEAFAF', 0.7368421052631579), ('YVLEVDAAI', 0.631578947368421), ('YLPDFPAAA', 0.631578947368421), ('YLPELVHAV', 0.631578947368421), ('YLPELVHAVV', 0.6)]
LLEGPVVVPP:[('FLEKPVVPL', 0.631578947368421), ('GLLGVVLFV', 0.631578947368421), ('LLPVVAIRV', 0.631578947368421), ('KLFLEKPVV', 0.631578947368421), ('LLGPGPVITV', 0.6)]
ILEPGGVVAA:[('ILRIGGVVLV', 0.6), ('SLPGGLVPTV', 0.6), ('GIRLEGVALV', 0.6), ('KLEGGAQGV', 0.5263157894736842), ('FLEKPVVPL', 0.5263157894736842)]
YLEGGLLVAI:[('SLSEGGLVPI', 0.7), ('YVLEVDAAI', 0.631578947368421), ('YLESLISAI', 0.631578947368421), ('YLMEDGQLV', 0.631578947368421), ('YLPELVHAV', 0.631578947368421)]
YLEGGLVPAV:[('YLPELVHAV', 0.7368421052631579), ('YLPELVHAVV', 0.7), ('WYLPELVHAV', 0.7), ('SLSEGGLVPI', 0.7), ('SLPGGLVPTV', 0.7)]
LLEGPGGVAP:[('KLEGGAQGV', 0.631578947368421), ('LLIGDGAGV', 0.631578947368421), ('LLQEPIVSA', 0.631578947368421), ('KLFLQEPGA', 0.631578947368421), ('YLLPGAPIL', 0.631578947368421)]
ILEGGLAPAV:[('VLGPCGAPAV', 0.7), ('KLEGGAQGV', 0.631578947368421), ('ILYEYLAEV', 0.631578947368421), ('ILQGLAFAL', 0.631578947368421), ('GLAPAAGLV', 0.631578947368421)]
FLEPGLVAPA:[('KLFLQEPGA', 0.631578947368421), ('FLPILSPAL', 0.631578947368421), ('FLMVTEPGA', 0.631578947368421), ('SLSEGGLVPI', 0.6), ('FYLMEDGQLV', 0.6)]
LLEGGPVPVP:[('LLGPGPVITV', 0.7), ('FLEKPVVPL', 0.631578947368421), ('GLYPVPVPL', 0.631578947368421), ('KLFLEKPVV', 0.631578947368421), ('SLSEGGLVPI', 0.6)]
ILEGGLGAVP:[('SLSEGGLVPI', 0.7), ('KLEGGAQGV', 0.631578947368421), ('ILYEYLAEV', 0.631578947368421), ('ILLGGQLGL', 0.631578947368421), ('YINSGLGAV', 0.631578947368421)]
FLEPGLVVVV:[('FLEKPVVPL', 0.631578947368421), ('RLEGVALVV', 0.631578947368421), ('FLVSEGYVV', 0.631578947368421), ('KLFLEKPVV', 0.631578947368421), ('FLLVVSYTV', 0.631578947368421)]
FLEEAPVVPA:[('FLEKPVVPL', 0.7368421052631579), ('FLEDVVPDT', 0.631578947368421), ('FLLESEYAA', 0.631578947368421), ('KLFLEKPVV', 0.631578947368421), ('FLRFQEEVLV', 0.6)]
YLEGPLVVAP:[('RLEGVALVV', 0.631578947368421), ('YLMEDGQLV', 0.631578947368421), ('YLPELVHAV', 0.631578947368421), ('YLMGCIPLV', 0.631578947368421), ('YLLGLDAPV', 0.631578947368421)]
LLEPGLPAVA:[('YLLGLDAPVA', 0.7), ('LLKEVQLPV', 0.631578947368421), ('LLPGHTVLV', 0.631578947368421), ('LLPPRLPPA', 0.631578947368421), ('KLFLQEPGA', 0.631578947368421)]
ILEGVVLPVP:[('ILRIGGVVLV', 0.7), ('RLEGVALVV', 0.631578947368421), ('GLLGVVLFV', 0.631578947368421), ('LLKEVQLPV', 0.631578947368421), ('LLSVVLPSV', 0.631578947368421)]
LLGPVLEVAP:[('VLLPVLSFV', 0.631578947368421), ('GLLGVVLFV', 0.631578947368421), ('LLPVVAIRV', 0.631578947368421), ('LLPGHTVLV', 0.631578947368421), ('WLLRGRLEV', 0.631578947368421)]
FLEPPVEGAA:[('KLFLQEPGA', 0.631578947368421), ('FLLESEYAA', 0.631578947368421), ('YLPPEAFAF', 0.631578947368421), ('FVPPGALYA', 0.631578947368421), ('FLMVTEPGA', 0.631578947368421)]
ILEGGGPVVP:[('KLEGGAQGV', 0.631578947368421), ('FLEKPVVPL', 0.631578947368421), ('ILRIGGVVLV', 0.6), ('SLSEGGLVPI', 0.6), ('LLGPGPVITV', 0.6)]
FLEGGELVVA:[('RLEGVALVV', 0.631578947368421), ('FLVSEGYVV', 0.631578947368421), ('SLSEGGLVPI', 0.6), ('FYLMEDGQLV', 0.6), ('SLLESLVLVA', 0.6)]
YLEPGGPVVV:[('YVLGVVTHV', 0.631578947368421), ('WLSPPVVVI', 0.631578947368421), ('LMVGGVVIV', 0.631578947368421), ('YLIPKGTLVV', 0.6), ('GLMVGGVVIV', 0.6)]
LLEGEVVVVV:[('GLLGVVLFV', 0.631578947368421), ('TLNDGVVVRV', 0.6), ('LLEEGSLVQV', 0.6), ('VLLTGLHVV', 0.5263157894736842), ('RLEGVALVV', 0.5263157894736842)]
ILVGGPLVPA:[('ILVGYPPKC', 0.631578947368421), ('ILVGGATWV', 0.631578947368421), ('ILFVGATGA', 0.631578947368421), ('ILVSTLVTA', 0.631578947368421), ('ILGGPFHFL', 0.631578947368421)]
ILEGEVPAVD:[('GIRLEGVALV', 0.7), ('RLQEGVPDM', 0.631578947368421), ('RLEGVALVV', 0.631578947368421), ('QLGEIPADL', 0.631578947368421), ('RLQEGVPDMI', 0.6)]
ILEPPGPVAV:[('GIRLEGVALV', 0.7), ('RLEGVALVV', 0.631578947368421), ('ILFGPSVAL', 0.631578947368421), ('ILSIPVNAV', 0.631578947368421), ('LLGPGPVITV', 0.6)]
FLVGGVPAAA:[('ALVPVPAPAV', 0.6), ('FLVYGSNVEA', 0.6), ('FLVGRVQAEL', 0.6), ('FVLAGLLGV', 0.5263157894736842), ('FVPSPVPAI', 0.5263157894736842)]
YLEPPPVAAV:[('YVLEVDAAI', 0.631578947368421), ('YLPDFPAAA', 0.631578947368421), ('YLPELVHAV', 0.631578947368421), ('YLPPEAFAF', 0.631578947368421), ('YLPELVHAVV', 0.6)]
YLEPGVVPVV:[('FLEKPVVPL', 0.631578947368421), ('RLEGVALVV', 0.631578947368421), ('YVLGVVTHV', 0.631578947368421), ('YVFVTPVDV', 0.631578947368421), ('YLVTKVVVV', 0.631578947368421)]
LLEGPGEVPV:[('LLGPGPVITV', 0.7), ('LLKEVQLPV', 0.631578947368421), ('LLPGHTVLV', 0.631578947368421), ('LLGPNSFEV', 0.631578947368421), ('NLLGPNSFEV', 0.6)]
FLEPGLVAVV:[('YLPELVHAVV', 0.7), ('FLEKPVVPL', 0.631578947368421), ('RLEGVALVV', 0.631578947368421), ('FLLVTAVTL', 0.631578947368421), ('KLFLQEPGA', 0.631578947368421)]
YLEPEELLAA:[('TLPEAELNL', 0.631578947368421), ('YLPELVHAV', 0.631578947368421), ('ILVERPELL', 0.631578947368421), ('YLPPEAFAF', 0.631578947368421), ('YLLLSAPIYA', 0.6)]
FLEPPGLVAP:[('FLEKPVVPL', 0.631578947368421), ('FLPYFVPGV', 0.631578947368421), ('KLFLQEPGA', 0.631578947368421), ('FVPPGALYA', 0.631578947368421), ('FLMVTEPGA', 0.631578947368421)]
FLEGELAAAA:[('FLLESEYAA', 0.631578947368421), ('ILFTELAAA', 0.631578947368421), ('GVADAIAQA', 0.5263157894736842), ('ILQGLAFAL', 0.5263157894736842), ('FLNEEVLPL', 0.5263157894736842)]
