YLEGPGLVPA:[('SLSEGGLVPI', 0.7), ('YLMEDGQLV', 0.631578947368421), ('YLPELVHAV', 0.631578947368421), ('YLMGCIPLV', 0.631578947368421), ('YKLFPEPSGL', 0.6)]
YLEPGVVEPA:[('FLEKPVVPL', 0.631578947368421), ('YLIPKGTLVV', 0.6), ('YLWNELPTVA', 0.6), ('VDLFETPVEA', 0.6), ('YMAPGVLEGA', 0.6)]
YLEPIPVAIV:[('VLEPAFEIV', 0.631578947368421), ('YVLEVDAAI', 0.631578947368421), ('LLQEPIVSA', 0.631578947368421), ('YLESLISAI', 0.631578947368421), ('LLPVVAIRV', 0.631578947368421)]
ILEPGLVAAA:[('ILFTELAAA', 0.7368421052631579), ('ILQGLAFAL', 0.631578947368421), ('GLLDVTAAA', 0.631578947368421), ('AILQGLAFA', 0.631578947368421), ('ILEDEQPGL', 0.631578947368421)]
YLEPGLVAPP:[('YLMEDGQLV', 0.631578947368421), ('YLPELVHAV', 0.631578947368421), ('YLLPGAPIL', 0.631578947368421), ('YLIPKGTLV', 0.631578947368421), ('YLLGLDAPV', 0.631578947368421)]
ILEPPLLPAV:[('ILYEYLAEV', 0.631578947368421), ('ILIPCLDLV', 0.631578947368421), ('ILNLLEAGV', 0.631578947368421), ('KLQEPPASV', 0.631578947368421), ('ILVERPELL', 0.631578947368421)]
FLGPPGGAPA:[('VLGPCGAPAV', 0.7), ('FVPPGALYA', 0.631578947368421), ('ALVPVPAPAV', 0.6), ('FLQGPGAVHI', 0.6), ('FVPSPVPAI', 0.5263157894736842)]
ILEGGEPAVP:[('KLEGGAQGV', 0.631578947368421), ('ILVGGATWV', 0.631578947368421), ('ILEIEHDPSV', 0.6), ('SLSEGGLVPI', 0.6), ('VLGPCGAPAV', 0.6)]
LLEPGGVAAP:[('LLQEPIVSA', 0.631578947368421), ('KLFLQEPGA', 0.631578947368421), ('YLLPGAPIL', 0.631578947368421), ('SLSEGGLVPI', 0.6), ('SYLLPGAPIL', 0.6)]
ILEPGGLVPP:[('SLSEGGLVPI', 0.7), ('SLPGGLVPTV', 0.7), ('ILEDEQPGL', 0.631578947368421), ('ILRIGGVVLV', 0.6), ('GIRLEGVALV', 0.6)]
FLEPGLLVVA:[('FVLAGLLGV', 0.631578947368421), ('FLEKPVVPL', 0.631578947368421), ('RLEGVALVV', 0.631578947368421), ('VLAGLLGVV', 0.631578947368421), ('ILFLEGFLL', 0.631578947368421)]
ILEGGLIPAA:[('ILQGLAFAL', 0.631578947368421), ('ILFTELAAA', 0.631578947368421), ('AILQGLAFA', 0.631578947368421), ('GGLFEYITAA', 0.6), ('SLSEGGLVPI', 0.6)]
YLEPPGLVGP:[('YLMEDGQLV', 0.631578947368421), ('YLIPKGTLV', 0.631578947368421), ('YKLFPEPSGL', 0.6), ('YLMEDGQLVC', 0.6), ('YLIPKGTLVV', 0.6)]
ILEGGVVLAL:[('ILRIGGVVLV', 0.7), ('GIRLEGVALV', 0.7), ('ILYEHGLLC', 0.631578947368421), ('ILQGLAFAL', 0.631578947368421), ('ILFGPSVAL', 0.631578947368421)]
FLVPGLVPPA:[('ALVPVPAPAV', 0.7), ('FVPSPVPAI', 0.631578947368421), ('FLPYFVPGV', 0.631578947368421), ('LLPPRLPPA', 0.631578947368421), ('FLPILSPAL', 0.631578947368421)]
ILEPELPAPV:[('KLQEPPASV', 0.631578947368421), ('HLAEPLDPV', 0.631578947368421), ('YLPELVHAV', 0.631578947368421), ('ILVERPELL', 0.631578947368421), ('YLPELVHAVV', 0.6)]
FLEPGIPAAI:[('FLPWIIKAA', 0.631578947368421), ('KLFLQEPGA', 0.631578947368421), ('FLPILSPAL', 0.631578947368421), ('FLMVTEPGA', 0.631578947368421), ('FVPSPVPAI', 0.5263157894736842)]
